x_x,y_x,x_y,y_y,time_departure
-122.4106265,37.7824273,-122.432716,37.760224,34088.9
-122.4038718,37.7898332,-122.5112149,37.5965143,34091.2
-122.4188105,37.7812425,-122.4097,37.7862213,34091.3
-122.4180638,37.7775161,-122.3768574,37.7402023,34092.4
-122.3997849,37.7922611,-122.417548,37.7833151,34093.4
-122.4128028,37.7848729,-122.3939507,37.7725273,34096.2
-122.3974495,37.7926417,-122.399767,37.7773689,34098.1
-122.4111594,37.7850815,-122.4042562,37.7844896,34098.1
-122.4024099,37.7909791,-122.4077053,37.7792988,34098.4
-122.3999769,37.7932159,-122.3944854,37.7873072,34102.9
-122.4102667,37.7890203,-122.4493892,37.7914942,34103.3
-122.3995716,37.7907272,-122.399572,37.791327,34105.3
-122.4162654,37.7774619,-122.4069817,37.7894357,34106.5
-122.4088057,37.7901622,-122.4013982,37.7892837,34107
-122.4153391,37.7807264,-122.4511855,37.7742578,34107.1
-122.4104533,37.7899531,-122.3943162,37.780094,34109.5
-122.4086156,37.7892289,-122.4955591,37.7590162,34110.1
-122.416889,37.781954,-122.3942446,37.7885329,34111.7
-122.4157156,37.7825934,-122.4020317,37.7891058,34114.9
-122.4160916,37.7844547,-122.4029757,37.7937875,34121.6
-122.4000967,37.7903123,-122.4421328,37.7878727,34122.7
-122.4181563,37.777974,-122.4237017,37.771749,34125.1
-122.4153391,37.7807264,-122.0615044,37.906817,34126.4
-122.3997849,37.7922611,-122.4033131,37.7955333,34126.8
-122.4133664,37.7876672,-122.2681117,37.8289526,34127
-122.419005,37.7821738,-122.4628267,37.6571922,34127.6
-122.4128028,37.7848729,-122.4316553,37.7872549,34128.8
-122.4025983,37.791909,-122.4097493,37.7119549,34131.2
-122.4169854,37.782432,-122.4519783,37.7614878,34132.4
-122.4000967,37.7903123,-122.4136068,37.805629,34135.1
-122.4104533,37.7899531,-122.416362,37.7775451,34135.2
-122.4188105,37.7812425,-122.4020317,37.7891058,34136
-122.4125763,37.7805274,-122.4040826,37.7772779,34138.7
-122.3991626,37.7910505,-122.3967146,37.7678433,34139.5
-122.3991626,37.7910505,-122.395815,37.7911514,34140.1
-122.4109719,37.7841515,-122.4243439,37.7757628,34140.3
